Configuracion,Banknote,Blood,Car,Cardiotocography,Chart,Dermatology,Fertility,Haberman,Hayes,Hill,Ionosphere,Letter,Libras,Optdigits,Pen,QSARBiodegradation,Shuttle,SPECTF,Wilt,Zoo
100.0:0.3:4.0:0.5,0.99941,0.75,0.83918,0.76224,0.90883,0.97158,0.64333,0.70392,0.67576,0.65215,0.85385,0.69323,0.766,0.88436,0.91097,0.85867,0.60618,0.35292,0.96915,0.86129
100.0:0.5:8.0:0.95,0.99963,0.7504,0.84543,0.76443,0.91433,0.96749,0.69111,0.7098,0.66212,0.66254,0.84729,0.69271,0.77,0.88032,0.91474,0.86152,0.50295,0.27417,0.96911,0.85376
100.0:0.7:16.0:0.2,0.99926,0.75242,0.83791,0.76114,0.90467,0.96393,0.68444,0.71176,0.65833,0.6571,0.85556,0.69283,0.773,0.8819,0.91664,0.858,0.52903,0.35833,0.96921,0.85269
100.0:0.95:16.0:0.7,0.99956,0.75242,0.83594,0.76362,0.91,0.96721,0.67889,0.71797,0.66364,0.65132,0.85698,0.69112,0.762,0.88405,0.91492,0.86171,0.49483,0.31667,0.96886,0.85806
150.0:0.15:20.0:0.7,0.99941,0.75148,0.84358,0.76286,0.91633,0.96803,0.68222,0.7134,0.65758,0.64521,0.85328,0.69047,0.76233,0.88234,0.91043,0.8559,0.49029,0.32083,0.96871,0.85161
150.0:0.3:8.0:0.35,0.99978,0.75188,0.83999,0.76576,0.9125,0.96749,0.64111,0.71275,0.65909,0.65429,0.85242,0.68942,0.76633,0.8824,0.91225,0.85971,0.48194,0.35458,0.96855,0.86989
150.0:0.5:12.0:0.5,0.99978,0.75282,0.84659,0.76233,0.917,0.96721,0.67222,0.71013,0.67121,0.65182,0.85613,0.68983,0.77133,0.88227,0.91631,0.86124,0.56261,0.34083,0.96886,0.85269
150.0:0.7:4.0:0.35,0.99941,0.75013,0.84502,0.76233,0.902,0.96639,0.68222,0.70784,0.66894,0.65611,0.85356,0.69039,0.76433,0.88013,0.9086,0.86124,0.53807,0.30292,0.96865,0.85484
150.0:0.95:16.0:0.95,0.99956,0.7496,0.84427,0.76605,0.907,0.96885,0.68,0.70817,0.66515,0.64686,0.8547,0.6915,0.76467,0.88169,0.91341,0.86181,0.48972,0.33,0.96871,0.85484
200.0:0.15:8.0:0.2,0.99926,0.75013,0.84236,0.76238,0.90917,0.9653,0.66333,0.70784,0.67652,0.65512,0.83989,0.68959,0.77267,0.88117,0.91185,0.86162,0.5098,0.36042,0.96849,0.85269
200.0:0.3:12.0:0.2,0.99941,0.75054,0.84213,0.76443,0.9045,0.96667,0.67556,0.70948,0.66439,0.65198,0.85214,0.69053,0.76733,0.87993,0.91131,0.85886,0.52726,0.35,0.96931,0.84624
200.0:0.5:16.0:0.35,0.99956,0.75081,0.83924,0.76276,0.91167,0.96995,0.68889,0.70882,0.66894,0.64917,0.85897,0.69034,0.75667,0.88221,0.91534,0.85752,0.52157,0.29542,0.96894,0.86237
200.0:0.7:20.0:0.5,0.99948,0.75081,0.83854,0.76052,0.90783,0.96557,0.66778,0.7085,0.67045,0.65165,0.84758,0.68929,0.75633,0.88056,0.91291,0.8619,0.47685,0.32625,0.96911,0.85806
200.0:0.95:4.0:0.7,0.99956,0.74987,0.83385,0.76524,0.90517,0.96885,0.67111,0.70556,0.67197,0.65083,0.851,0.68949,0.76,0.88325,0.91199,0.8599,0.57791,0.30583,0.96824,0.85806
250.0:0.15:4.0:0.95,0.99978,0.75108,0.83623,0.76129,0.9035,0.96393,0.67333,0.71242,0.67348,0.65231,0.85071,0.68946,0.76833,0.88045,0.91424,0.85914,0.55261,0.34125,0.9682,0.85484
250.0:0.3:16.0:0.7,0.9997,0.75054,0.84282,0.76271,0.90833,0.96612,0.68,0.71405,0.67348,0.64191,0.83989,0.68741,0.76567,0.87746,0.91391,0.85762,0.43815,0.28125,0.96915,0.85054
250.0:0.5:20.0:0.2,0.99963,0.75067,0.83947,0.76652,0.90917,0.96913,0.66778,0.7098,0.65076,0.6434,0.84786,0.68881,0.768,0.88058,0.91331,0.85771,0.49085,0.31083,0.96838,0.85269
250.0:0.7:12.0:0.7,0.99956,0.75027,0.84282,0.75914,0.91417,0.9724,0.66222,0.70621,0.66515,0.64521,0.85299,0.68662,0.76667,0.88141,0.91102,0.86343,0.48609,0.30292,0.96884,0.85054
250.0:0.95:8.0:0.5,0.99926,0.74987,0.84531,0.76629,0.91433,0.9653,0.67,0.71144,0.67197,0.65446,0.85698,0.68765,0.75367,0.878,0.90972,0.85895,0.44903,0.31167,0.96888,0.84409
300.0:0.15:16.0:0.5,0.99941,0.74718,0.84433,0.76614,0.91017,0.96639,0.69667,0.70196,0.66742,0.64868,0.851,0.68856,0.773,0.87906,0.91462,0.85829,0.46275,0.3025,0.96925,0.86667
300.0:0.3:20.0:0.95,0.9997,0.74691,0.84439,0.76576,0.90967,0.96639,0.69111,0.70229,0.66818,0.64802,0.851,0.68873,0.775,0.87848,0.91462,0.85476,0.47543,0.29708,0.96925,0.86667
300.0:0.5:4.0:0.2,0.99919,0.75121,0.83675,0.7629,0.90517,0.96421,0.67889,0.71111,0.68258,0.65462,0.86211,0.68882,0.77133,0.87759,0.91139,0.85962,0.4781,0.30958,0.96871,0.84839
300.0:0.7:8.0:0.7,0.9997,0.75228,0.83987,0.76124,0.90817,0.96694,0.67222,0.70784,0.67045,0.64851,0.85128,0.68675,0.772,0.87854,0.91144,0.8601,0.44762,0.33167,0.96875,0.85914
300.0:0.95:12.0:0.35,0.9997,0.74866,0.83924,0.76186,0.90883,0.96339,0.67889,0.70752,0.6553,0.64406,0.84245,0.68931,0.75667,0.87859,0.91257,0.86181,0.47864,0.31542,0.96851,0.84839
100.0:0.95:20.0:0.35,1,0.74852,0.8375,0.76386,0.90767,0.96858,0.68333,0.70784,0.66136,0.65099,0.85926,0.69273,0.75633,0.88062,0.91313,0.85886,0.43485,0.33292,0.96871,0.86667
150.0:0.95:16.0:0.2,0.99956,0.75148,0.84207,0.76714,0.91367,0.96913,0.67444,0.70948,0.66742,0.64653,0.85328,0.68964,0.75467,0.87787,0.91321,0.86114,0.49029,0.30958,0.96871,0.87634
250.0:0.95:12.0:0.35,0.99933,0.74946,0.84259,0.76162,0.916,0.96667,0.67556,0.70556,0.66439,0.64059,0.85385,0.68719,0.775,0.88015,0.91349,0.8639,0.51297,0.33292,0.96871,0.84516
200.0:0.7:12.0:0.95,0.99948,0.7504,0.84601,0.76224,0.91117,0.96776,0.68,0.70686,0.67121,0.65066,0.85157,0.68898,0.76867,0.88336,0.91295,0.85895,0.55397,0.34458,0.96898,0.85161
100.0:0.5:8.0:0.7,0.99978,0.74919,0.84525,0.76438,0.92083,0.96585,0.67,0.7085,0.67879,0.65743,0.84387,0.69148,0.764,0.88305,0.91434,0.86057,0.52425,0.28042,0.96888,0.86237
